Title,Genre,Language,Platform,Mood,Runtime,Rating,Description
Cigarette Ki Tarah,Romance,hindi,JioHotstar,Action,125,8,A guy lands in deep trouble after falling in love but does not give up.
Ab To Aaja Saajan Mere,Drama,hindi,Zee,Drama,127,7,"When two inseparable companions fall in love with the same guy, which one will the guy choose forms the rest of the story."
Who's There,Horror,hindi,Sony,Comedy,108,6,Sunny and Muskan's honeymoon plans go for a toss when Sunny sees Jay's Muskan's ex-boyfriend Jay's ghost! Will they be able to survive this honeymoon?
Sunday,Comedy,hindi,ETV,Horror,130,9,Sunday is a Hindi comedy movie about Sehar (Ayesha Takia) who is unable to remember a particular Sunday in her life & then is suspected of a murder. A.C.P Rajveer (Ajay Devgn) takes up the case to solve the mystery & encounters that Sehar had interacted with many people & all of them spotted Sehar at the crime scene. Watch Sunday to find out the events which entangled Sehar in a murder case.
Dhama Chaukdi,Mature,hindi,Eros Now,Romantic,122,6,"Four underworld dons - Mani Aiyer from Madras, Pappu Yadav from Bihar, Lallan Pyare from UP and Sanjay Apte from Mumbai - are staunch enemies, having businesses in Mumbai. What happens as a result of this rivalry?"
Bezubaan,Drama,hindi,JioHotstar,Action,135,6,"A young woman must try to keep a one-night stand that she had in college, a secret from her husband who happens to be one of his best friends."
Kitaab,Drama,hindi,Zee,Drama,125,7,A funny yet sensitive story that expressively captures the thinking of children and their fantasies of adulthood.
Say Yes To Love,Romance,hindi,Sony,Comedy,120,8,Vijay was molested by a prostitute as a child. This incident leaves him so traumatized that he develops the fear of interaction with girls.
Shakal Pe Mat Ja,Comedy,hindi,ETV,Horror,140,8,"SPMJ is a story of 4 young boys who get caught up as suspects at the Delhi international airport, on a high alert day. They get caught while capturing an American Airlines aircraft landing on their camera, which they claim to have shot for a documentary that they are making."
Main Krishna Hoon,Mature,hindi,Eros Now,Romantic,129,6,"Krishna, an orphan, lives in an orphanage. He feels unwanted as all his friends have found someone to adopt them. However, his sadness turns into happiness when Lord Krishna comes to his aid."
Kinara,Drama,hindi,JioHotstar,Action,139,6,"This story is based on a love triangle, where Inder loves Aarti but she is still in love with Chandan!"
Rakhtbeej,Thriller,hindi,Zee,Drama,120,6,"Rakhtbeej is the story of two men, from two different generations. Even though their worlds are different their lives keep intersecting."
Phobia,Mystery,hindi,Sony,Comedy,109,9,"Mehak - talented artist, victim of assault and agoraphobic - feels she's possessed when she has visions in her new house."
Gang,Action,hindi,ETV,Horror,167,7,"Four friends, lured by quick money, form a dangerous gang undertaking criminal activities all the while completely ignoring how it affects their personal relationships."
Paathshaala,Drama,hindi,Eros Now,Romantic,121,9,"A new English school-teacher ends up leading both, teachers and students, to revolt against the school management for what's right."
Aligarh,Drama,hindi,JioHotstar,Action,118,9,"Based on true events, a university professor is sacked from his job on charges of homosexuality."
Nil Battey Sannata,Comedy,hindi,Zee,Drama,104,8,"Nil Battey Sannata is a thought-provoking tale of Chanda, whose only dream in life is to provide her daughter Appu an education and a respectable life."
Qasam Se Qasam Se,Romance,hindi,Sony,Comedy,145,6,"Qasam Se Qasam Se is a story of two young lovers who must overcome friendship, parents and all odds to come together."
3G,Horror,hindi,ETV,Horror,123,6,"3G follows Sam and Sheena's Fiji vacation gone wrong, as their new 3G phone brings phantom calls and paranormal terrors."
Switchh,Action,hindi,Eros Now,Romantic,129,7,"Stealing, speeding and doing it all in style. Get your heart racing as Vikrant Massey and gang plan the biggest con in #Switchh."
Second Marriage Dot Com,Drama,hindi,JioHotstar,Action,130,9,"Akshay is the son of single parent Suneel Narang. He embarks on a journey to get his widower father married. Co-incidentally in Jaipur, a vibrant young girl Poonam is on the same hunt to find a partner for her mother Shoma, a single parent. They get in touch with each other through a matrimonial website named secondmarriage.com"
Zindagi 50-50,Mature,hindi,Zee,Drama,127,7,Three common people pursue ambitious dreams and learn that it takes more than perpetual struggle to achieve them.
Dishoom,Action,hindi,Sony,Comedy,121,7,"When a top Indian cricketer goes missing, two officers, Kabir and Junaid undertake a 36-hour action-packed man hunt to find him!"
Bhoot Returns,Horror,hindi,ETV,Horror,87,6,Sequel to the horror film Bhoot in which a family moves into a house haunted by a ghost.
Happy Bhag Jayegi,Comedy,hindi,Eros Now,Romantic,125,9,A girl decides to sprint out of her own wedding and has people from not one but two countries chasing after her.
Shubh Kaamna,Comedy,hindi,JioHotstar,Action,138,6,A classic entertainer in which Ratan decides to help secretly by arranging Sujata's marriage with Mr. Mehra. But is this what Sujata and Mr. Mehra really want?
Lady Robinhood,Action,hindi,Zee,Drama,115,8,"When her husband is brutally murdered, a lady police officer decides to find the killers and avenge his death in Lady Robinhood directed by Surinder Kapoor."
Ki & Ka,Comedy,hindi,Sony,Comedy,123,6,"A gender-bender role-reversal romantic drama, Ki & Ka is the story of an ambitious woman and her stay-at-home husband."
Bajirao Mastani,Drama,hindi,ETV,Horror,157,7,"Bajirao Mastani is an unapologetic war-time love story that once blossomed as Bajirao (Ranveer Singh), a warrior falls in love with Mastani (Deepika Padukone) while being married to Kashibai (Priyanka Chopra). This Hindi movie revolves around themes such as sacrifice & acceptance of love. Watch Bajirao Mastani to see the challenges Bajirao, Mastani and Kashibai go through to uphold their love."
Its Rocking: Dard E Disco,Comedy,hindi,Eros Now,Romantic,97,9,"It's Rocking - Dard-E-Disco is the story of two fun-loving brothers. Rambo and Rocky who dream of opening their own discotheque like the happing Dard-E-Disco, owned by disco king DK."
Le Gaya Saddam,Comedy,hindi,JioHotstar,Action,113,8,"The story depicts the Muslim divorce system, which is based on Shariyat Law that is leading to the push and pull in an ever-evolving society."
Swayamvar,Comedy,hindi,Zee,Drama,157,6,"In order to teach a stringent woman a lesson, two brothers take up disguises and set out to woo her daughters for marriage."
Provoked,Drama,english,ETV,Horror,113,9,A true story of an Indian woman incarcerated for murdering her abusive husband who had her conviction overturned in a case that changed British law.
Heroes,Drama,hindi,Eros Now,Romantic,137,6,"Heroes is a Hindi patriotic drama film of two film school students Sammy (Sohail Khan) & Ali (Vatsal Seth). Working on their documentry project 'Why Not to Join Defence' they travel a thousand miles to deliver 3 letters to armed forces officers. While delivering letters, they realize something about these officers. Watch Heroes to know what was it that they realised & how they made their project."
Salaam-e-Ishq,Drama,hindi,JioHotstar,Action,223,9,Six couples face problems in their lives when fate forces them to move away from each other. They must overcome these issues in order to make their love triumphant.
Swarag Narak,Drama,hindi,Zee,Drama,158,9,Three married couples start having problems in their marriage when a third person comes into the picture.
Shamitabh,Drama,hindi,Sony,Comedy,138,9,"A mute, aspiring actor joins forces with a man who has a powerful voice. Together they take the film industry by storm, but will their egos get in the way?"
Love Aaj Kal,Comedy,hindi,ETV,Horror,128,8,The story that comes after two lovers break up when they realize that their career goals are pulling them in different directions.
Login,Mature,hindi,Eros Now,Romantic,104,8,The film is about 3 different individuals & how the usage of the Internet & social networking sites has affected their lives completely.
Hum Tumhare Hain Sanam,Drama,hindi,JioHotstar,Action,167,9,"A man who loves his wife dearly feels that she is giving undue attention to her friend. As a result, he grows very suspicious resulting in throwing his wife out of the house after his jealousy completely overwhelms him."
